name,price,style,switches,backlit,tenkeyless,connection_type,color
Razer BlackWidow V3 Mini HyperSpeed,97.59,Gaming,Razer Yellow,RGB,true,Wireless,Black
ADATA XPG INFAREX K10,39.99,Gaming,,RGB,false,Wired,Black
Keychron K2 Plastic,79.98,Standard,Gateron G Pro Brown,White,true,Wireless,Black / Gray
Keychron K5 Pro,,Gaming,Gateron Low-Profile Blue,RGB,false,"Wired, Bluetooth Wireless",White
Keychron Lemokey X3,49.99,Standard,Keychron Brown,Red,false,"Wired, Wired",Black / Red
Corsair K70 PRO MINI,125.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G915 Lightspeed,,Gaming,Logitech GL Tactile,RGB,false,"Wireless, Bluetooth Wireless",Black
AOC AGK700,,Gaming,Cherry MX Red,RGB,false,Wired,Black / Red
Tecware Phantom RGB,49.99,Gaming,Outemu Brown,RGB,true,Wired,Black
NZXT Function 2,102.99,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",White
Cooler Master CK721,69.98,Gaming,TTC Brown,RGB,true,"Wired, Wireless",Black / Gray
Razer BlackWidow V3 Mini HyperSpeed - Phantom Edition,99.99,Gaming,Razer Yellow,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K60 RGB Pro SE,100.9,Gaming,Cherry Viola,RGB,false,Wired,Black
Logitech MK540 Advanced,43.43,Standard,,,false,"Wired, Wireless",Black
Keychron Q6 Pro,229.99,Gaming,Keychron K Pro Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black / Blue
Logitech MK470,39.99,Slim,,,false,"Wired, Wireless",Pink / White
Corsair K70 CORE SE RGB w/Palmrest,89.99,Gaming,Corsair MLX Red Linear,RGB,false,Wired,White / Gray
Redragon S113,,Gaming,Outemu Brown,RGB,true,Wired,Black
Alienware AW510K Lunar Light,125.33,Gaming,Cherry MX Low Profile Red,RGB,false,Wired,Silver / Black
Razer TARTARUS V2,69.98,Ergonomic,,RGB,true,Wired,Black
Logitech G713,129.99,Gaming,GX Brown,RGB,true,"Wired, Wired",White
Asus ROG Azoth,236.99,Mini,ROG NX Blue,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 X LIGHTSPEED,229.99,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Silver
Logitech K750,54.99,Slim,,,false,Wireless,Black
Razer DeathStalker V2 Pro,199.99,Gaming,Razer Purple Low-Profile Optical Clicky,RGB,false,Wireless,Black
MSI VIGOR GK71 SONIC,89.99,Gaming,MSI Sonic Red,RGB,false,Wired,Black
Verbatim 70724,17.98,Slim,,,false,Wireless,Black
Womier SK75,109.99,Mini,Womier Mint Blizzard Linear,RGB,false,"Wired, Wireless, Bluetooth Wireless",Blue / White
Razer Pro Type Ultra - US,,Standard,Razer Yellow,White,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Corsair K55 RGB,,Gaming,,RGB,false,Wired,Black
Logitech MK295 Silent,29.99,Standard,,,false,"Wired, Wireless",White
GameMax Strike,,Gaming,Outemu Red,Multicolor,false,Wired,Black
8BitDo Retro C64,89.99,Gaming,Kailh Box White V2,,false,"Wired, Wireless, Bluetooth Wireless",Brown / Beige
